id_nota,alumno_id,proyecto_id,calificacion
1,0,0,True
2,0,1,False
3,0,2,True
4,0,3,True
5,0,4,True
6,1,0,True
7,1,1,False
8,1,2,True
9,1,3,True
10,1,4,True
11,2,0,True
12,2,1,True
13,2,2,True
14,2,3,False
15,2,4,True
16,3,0,True
17,3,1,False
18,3,2,False
19,3,3,True
20,3,4,False
21,4,0,True
22,4,1,False
23,4,2,True
24,4,3,True
25,4,4,True
26,5,0,True
27,5,1,True
28,5,2,True
29,5,3,True
30,5,4,True
31,6,0,False
32,6,1,True
33,6,2,True
34,6,3,True
35,6,4,True
36,7,0,False
37,7,1,True
38,7,2,True
39,7,3,True
40,7,4,True
41,8,0,True
42,8,1,True
43,8,2,True
44,8,3,False
45,8,4,True
46,9,0,True
47,9,1,False
48,9,2,True
49,9,3,True
50,9,4,True
51,10,0,True
52,10,1,True
53,10,2,True
54,10,3,True
55,10,4,True
56,11,0,True
57,11,1,False
58,11,2,False
59,11,3,True
60,11,4,True
61,12,0,True
62,12,1,False
63,12,2,True
64,12,3,True
65,12,4,True
66,13,0,True
67,13,1,True
68,13,2,True
69,13,3,True
70,13,4,True
71,14,0,True
72,14,1,True
73,14,2,True
74,14,3,True
75,14,4,True
76,15,0,True
77,15,1,False
78,15,2,False
79,15,3,True
80,15,4,False
81,16,0,True
82,16,1,False
83,16,2,True
84,16,3,True
85,16,4,False
86,17,0,True
87,17,1,False
88,17,2,True
89,17,3,True
90,17,4,True
91,18,0,True
92,18,1,True
93,18,2,True
94,18,3,True
95,18,4,True
96,19,0,False
97,19,1,True
98,19,2,False
99,19,3,True
100,19,4,True
101,20,0,False
102,20,1,False
103,20,2,True
104,20,3,True
105,20,4,True
106,21,0,True
107,21,1,True
108,21,2,False
109,21,3,True
110,21,4,True
111,22,0,False
112,22,1,True
113,22,2,False
114,22,3,True
115,22,4,True
116,23,0,False
117,23,1,True
118,23,2,False
119,23,3,False
120,23,4,True
121,24,0,True
122,24,1,True
123,24,2,True
124,24,3,True
125,24,4,True
126,25,5,True
127,25,6,True
128,25,7,True
129,25,8,True
130,25,9,False
131,26,5,False
132,26,6,False
133,26,7,True
134,26,8,False
135,26,9,True
136,27,5,True
137,27,6,False
138,27,7,True
139,27,8,False
140,27,9,True
141,28,5,True
142,28,6,False
143,28,7,True
144,28,8,False
145,28,9,True
146,29,5,True
147,29,6,True
148,29,7,True
149,29,8,True
150,29,9,False
151,30,5,False
152,30,6,False
153,30,7,False
154,30,8,True
155,30,9,False
156,31,5,False
157,31,6,True
158,31,7,True
159,31,8,True
160,31,9,True
161,32,5,True
162,32,6,True
163,32,7,False
164,32,8,True
165,32,9,True
166,33,5,False
167,33,6,True
168,33,7,True
169,33,8,True
170,33,9,True
171,34,5,False
172,34,6,True
173,34,7,True
174,34,8,False
175,34,9,True
176,35,5,False
177,35,6,True
178,35,7,True
179,35,8,True
180,35,9,True
181,36,5,True
182,36,6,True
183,36,7,True
184,36,8,True
185,36,9,True
186,37,5,True
187,37,6,True
188,37,7,False
189,37,8,False
190,37,9,False
191,38,5,True
192,38,6,True
193,38,7,True
194,38,8,True
195,38,9,True
196,39,5,True
197,39,6,True
198,39,7,True
199,39,8,True
200,39,9,True
201,40,5,True
202,40,6,True
203,40,7,False
204,40,8,True
205,40,9,True
206,41,5,True
207,41,6,True
208,41,7,True
209,41,8,True
210,41,9,True
211,42,5,True
212,42,6,False
213,42,7,False
214,42,8,True
215,42,9,True
216,43,5,False
217,43,6,True
218,43,7,True
219,43,8,True
220,43,9,False
221,44,5,True
222,44,6,True
223,44,7,True
224,44,8,True
225,44,9,True
226,45,5,False
227,45,6,False
228,45,7,False
229,45,8,True
230,45,9,True
231,46,5,False
232,46,6,False
233,46,7,True
234,46,8,False
235,46,9,False
236,47,5,False
237,47,6,False
238,47,7,False
239,47,8,True
240,47,9,True
241,48,5,True
242,48,6,True
243,48,7,False
244,48,8,True
245,48,9,True
246,49,5,False
247,49,6,False
248,49,7,True
249,49,8,False
250,49,9,False
251,50,5,True
252,50,6,True
253,50,7,False
254,50,8,False
255,50,9,True
256,51,5,True
257,51,6,False
258,51,7,False
259,51,8,True
260,51,9,True
